"goal","dimension","region_id","score","region_label"
"FIS","score",0,58.9,"GLOBAL"
"FIS","score",1,34.16,"Cocos Islands"
"FIS","score",2,30.91,"Christmas Island"
"FIS","score",3,44.15,"Norfolk Island"
"FIS","score",4,51.4,"Macquarie Island"
"FIS","score",5,97,"New Caledonia"
"FIS","score",6,91.5,"Vanuatu"
"FIS","score",7,98,"Solomon Islands"
"FIS","score",8,96.5,"Palau"
"FIS","score",9,74.19,"Micronesia"
"FIS","score",10,96,"Nauru"
"FIS","score",11,96,"Marshall Islands"
"FIS","score",12,7.19,"Wake Island"
"FIS","score",13,18.21,"Northern Mariana Islands and Guam"
"FIS","score",14,28.05,"Taiwan"
"FIS","score",15,88.43,"Philippines"
"FIS","score",16,57.46,"Australia"
"FIS","score",17,98,"Papua New Guinea"
"FIS","score",18,87.29,"Fiji"
"FIS","score",19,98.5,"Tuvalu"
"FIS","score",20,2.13,"South Korea"
"FIS","score",21,53.88,"North Korea"
"FIS","score",24,7.2,"Cambodia"
"FIS","score",25,67.99,"Thailand"
"FIS","score",26,15.53,"Andaman and Nicobar"
"FIS","score",28,79.39,"Comoro Islands"
"FIS","score",29,87.68,"Mayotte"
"FIS","score",30,,"Glorioso Islands"
"FIS","score",31,79.06,"Seychelles"
"FIS","score",32,82.36,"R_union"
"FIS","score",33,,"Juan de Nova Island"
"FIS","score",34,,"Bassas da India"
"FIS","score",35,,"Ile Europa"
"FIS","score",36,82.46,"Ile Tromelin"
"FIS","score",37,68.95,"Mauritius"
"FIS","score",38,82.96,"British Indian Ocean Territory"
"FIS","score",39,80.04,"Maldives"
"FIS","score",40,34.74,"Sri Lanka"
"FIS","score",41,76.21,"Mozambique"
"FIS","score",42,54.68,"Madagascar"
"FIS","score",43,62.68,"Kenya"
"FIS","score",44,75.1,"Somalia"
"FIS","score",45,67.74,"Eritrea"
"FIS","score",46,78.47,"Djibouti"
"FIS","score",47,69.15,"Yemen"
"FIS","score",48,83.66,"Oman"
"FIS","score",49,68.3,"Sudan"
"FIS","score",50,72.18,"Saudi Arabia"
"FIS","score",51,38.4,"Kuwait"
"FIS","score",52,74.67,"Bahrain"
